,year,mean_price
0,2008,43109.375
1,2009,41512.5
2,2010,39120.0
3,2011,37176.666666666664
4,2012,35546.666666666664
5,2013,34480.0
6,2014,33665.51724137931
7,2015,33444.8275862069
8,2016,33213.793103448275
9,2017,32955.1724137931
10,2018,32617.241379310344
11,2019,32379.310344827587
