,year,mean_price
0,2008,65273.11827956989
1,2009,63485.393258426964
2,2010,60861.79775280899
3,2011,57061.03896103896
4,2012,54467.53246753247
5,2013,50783.132530120485
6,2014,49354.21686746988
7,2015,48163.85542168675
8,2016,47473.49397590361
9,2017,48425.882352941175
10,2018,48258.82352941176
11,2019,48000.0
